exchange,symbol,instrument_token
NSE,TRIDENT,2479361
NSE,TNPETRO,898305
NSE,THOMASCOOK,891137
NSE,TECHNOFAB,4912641
NSE,TCFSL-NC,1287937
NSE,TATAMETALI,876289
NSE,TAKE,3818753
NSE,SURYAROSNI,864001
NSE,SUNFLAG,857089
NSE,STRTECH,2383105
NSE,SRTRANSFIN-YQ,1576961
NSE,SRTRANSFIN-Y8,1106689
NSE,SREINFRA-YI,517377
NSE,SREINFRA-NY,4792065
NSE,SREIBNPNCD-NT,5511937
NSE,SREIBNPNCD-NE,4991489
NSE,SPECIALITY,6939393
NSE,SOLARINDS,3412993
NSE,SITINET,3583489
NSE,SIGIND,1157633
NSE,SHRADHA-SM,165889
NSE,SHANTI-SM,5487105
NSE,SGBNOV258-GB,127233
NSE,SGBDEC25-GB,159489
NSE,SEAMECLTD,669697
NSE,SASTASUNDR,5136129
NSE,SALSTEEL,2978305
NSE,SABEVENTS,4735233
NSE,RPGLIFE,4281601
NSE,RITES,962817
NSE,RENUKA,3078657
NSE,RECLTD-NI,5100545
NSE,RECLTD-N2,7452417
NSE,RAMCOSYS,2009857
NSE,PVR,3365633
NSE,PROVOGE-BE,8006657
NSE,PRAKASHCON,6505985
NSE,PODDARHOUS,5234177
NSE,PIDILITIND,681985
NSE,PFC-N2,5113345
NSE,PDMJEPAPER,3936513
NSE,PANACHE-SM,5271297
NSE,ORIENTBELL,3655169
NSE,OMMETALS,6203137
NSE,NTPC-NB,2750977
NSE,NRAIL,5200385
NSE,NIITTECH,2955009
NSE,NHBTF2023-N5,451329
NSE,NHAI-N9,3060225
NSE,NETF,2006529
NSE,NABARD-N2,5128705
NSE,MRPL,584449
NSE,MOLDTECH,4512001
NSE,MINDAIND,3623425
NSE,MELSTAR-BE,1939201
NSE,MAWANASUG,4357633
NSE,MANINDS,3042305
NSE,MANAKSIA,3890945
NSE,MAHAPEXLTD-BE,2221825
NSE,M&M,519937
NSE,LIQUIDETF,493313
NSE,LAXMIMACH,506625
NSE,L&TINFRA-N2,5327361
NSE,KREBSBIO,495873
NSE,KOKUYOCMLN,4307713
NSE,KESORAMIND,475905
NSE,KARURVYSYA,470529
NSE,JYOTHYLAB,3877377
NSE,JPOLYINVST,8065793
NSE,JINDWORLD,5284353
NSE,JBCHEPHARM,441857
NSE,IRFC-NN,3874305
NSE,IRFC-N5,7578881
NSE,IPCALAB,418049
NSE,INFY,408065
NSE,INDOSOLAR-BE,5109505
NSE,IMFA,4924161
NSE,IFCI-NM,1702913
NSE,IDFCBANK-NE,2795521
